step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000461,,,,,,,,,,MediumChange2State
step_00000462,,,,,,,,,,MediumChange2State
step_00000463,,,,,,,,,,MediumChange2State
step_00000464,,,,,,,,,,MediumChange2State
step_00000465,,,,,,,,,,MediumChange2State
step_00000466,,,,,,,,,,MediumChange2State
step_00000467,,,,,,,,,,MediumChange2State
step_00000468,,,,,,,,,,MediumChange2State
step_00000469,,,,,,,,,,MediumChange2State
step_00000470,,,,,,,,,,MediumChange2State
step_00000471,,,,,,,,,,MediumChange2State
step_00000472,,,,,,,,,,MediumChange2State
step_00000473,,,,,,,,,,MediumChange2State
step_00000474,,,,,,,,,,MediumChange2State
step_00000475,,,,,,,,,,SamplingState
step_00000476,,,,,,,,,,SamplingState
step_00000477,,,,,,,,,,SamplingState
