step,HEK_Experiment_0,HEK_Experiment_1,HEK_Experiment_2,HEK_Experiment_3,HEK_Experiment_4,iPS_Experiment_0,iPS_Experiment_1,iPS_Experiment_2,iPS_Experiment_3,iPS_Experiment_4
step_00000248,HEKRestart20241123GetImageState,HEKGetImageState,HEKRestart20241123GetImageState,HEKSamplingState,HEKRestart20241123GetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000249,HEKRestart20241123GetImageState,HEKGetImageState,HEKRestart20241123GetImageState,HEKSamplingState,HEKRestart20241123GetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000250,HEKGetImageState,HEKGetImageState,HEKRestart20241123GetImageState,HEKSamplingState,HEKRestart20241123GetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000251,HEKSamplingState,HEKGetImageState,HEKRestart20241123GetImageState,HEKSamplingState,HEKRestart20241123GetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000252,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKRestart20241123GetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000253,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000254,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000255,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000256,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000257,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000258,HEKSamplingState,HEKGetImageState,HEKGetImageState,HEKSamplingState,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000259,HEKSamplingState,HEKGetImageState,HEKGetImageState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000260,HEKSamplingState,HEKGetImageState,HEKGetImageState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000261,HEKSamplingState,HEKGetImageState,HEKGetImageState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000262,,HEKGetImageState,HEKGetImageState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000263,,HEKSamplingState,HEKGetImageState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000264,,HEKSamplingState,HEKSamplingState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000265,,HEKSamplingState,HEKSamplingState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000266,,HEKSamplingState,HEKSamplingState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000267,,,HEKSamplingState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000268,,,HEKSamplingState,,HEKGetImageState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000269,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange1State
step_00000270,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange2State
step_00000271,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange2State
step_00000272,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange1State,MediumChange2State
step_00000273,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange2State,MediumChange2State
step_00000274,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange2State,MediumChange2State
step_00000275,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange1State,MediumChange2State,MediumChange2State
step_00000276,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000277,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000278,,,HEKSamplingState,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000279,,,,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000280,,,,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000281,,,,,HEKSamplingState,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000282,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000283,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
step_00000284,,,,,,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State,MediumChange2State
